END_TIME,M_TMSI,POS_LAST_LON,POS_LAST_LAT
2017-11-13 12:57:59,CE16482B,11.528616,48.148246
2017-11-13 07:46:22,CE1CA4C1,11.594544,48.164369
2017-11-13 00:29:14,CF1B0202,11.582375,48.188776
2017-11-13 00:46:26,CF1B0202,11.582817,48.18897
2017-11-13 00:57:24,CF1B0202,11.582817,48.18897
2017-11-13 01:01:15,CF1B0202,11.582379,48.188771
2017-11-13 00:37:10,CF1B0202,11.583276,48.189146
2017-11-13 00:41:11,CF1B0202,11.582827,48.188959
2017-11-13 01:17:23,CF1B0202,11.582815,48.188972
2017-11-13 01:21:24,CF1B0202,11.582815,48.188972
2017-11-13 01:25:14,CF1B0202,11.582815,48.188972
2017-11-13 01:26:52,CF1B0202,11.582815,48.188972
2017-11-13 01:35:20,CF1B0202,11.582819,48.188968
2017-11-13 01:36:11,CF1B0202,11.582819,48.188968
2017-11-13 01:39:19,CF1B0202,11.582819,48.188968
2017-11-13 01:53:17,CF1B0202,11.582817,48.18897
2017-11-13 01:56:25,CF1B0202,11.58237,48.188781
2017-11-13 01:57:28,CF1B0202,11.582817,48.18897
2017-11-13 02:00:24,CF1B0202,11.582817,48.18897
2017-11-13 02:21:18,CF1B0202,11.582819,48.188968
2017-11-13 02:22:03,CF1B0202,11.583266,48.189157
2017-11-13 02:48:27,CF1B0202,11.582821,48.188966
2017-11-13 02:48:41,CF1B0202,11.582821,48.188966
2017-11-13 02:49:18,CF1B0202,11.582821,48.188966
2017-11-13 02:49:38,CF1B0202,11.582821,48.188966
2017-11-13 02:50:43,CF1B0202,11.582821,48.188966
2017-11-13 02:53:18,CF1B0202,11.582821,48.188966
2017-11-13 03:11:28,CF1B0202,11.582829,48.188957
2017-11-13 03:16:08,CF1B0202,11.582829,48.188957
2017-11-13 03:16:25,CF1B0202,11.583278,48.189144
2017-11-13 03:16:40,CF1B0202,11.582829,48.188957
2017-11-13 02:36:20,CF1B0202,11.582827,48.188959
2017-11-13 02:40:20,CF1B0202,11.583276,48.189146
2017-11-13 02:46:27,CF1B0202,11.582827,48.188959
2017-11-13 03:17:02,CF1B0202,11.582827,48.188959
2017-11-13 03:17:17,CF1B0202,11.582827,48.188959
2017-11-13 03:36:53,CF1B0202,11.582725,48.188964
2017-11-13 03:36:58,CF1B0202,11.576818,48.189912
2017-11-13 10:38:12,CF980883,11.571064,48.124896
2017-11-13 06:00:49,D008922E,11.559261,48.140268
2017-11-13 20:06:53,D008A08D,11.587919,48.069128
2017-11-13 12:46:24,D0826791,11.5341,48.16892
2017-11-13 12:48:14,D0826791,11.53395,48.168763
2017-11-13 12:49:14,D0826791,11.533991,48.169004
2017-11-13 12:50:47,D0826791,11.534007,48.169
2017-11-13 12:52:47,D0826791,11.534086,48.168937
2017-11-13 12:58:03,D0826791,11.534031,48.168968
2017-11-13 13:00:44,D0826791,11.528549,48.169333
2017-11-13 13:02:17,D0826791,11.534111,48.168936
2017-11-13 13:02:47,D0826791,11.534037,48.168981
2017-11-13 13:03:24,D0826791,11.533892,48.168843
2017-11-13 13:04:45,D0826791,11.531777,48.171593
2017-11-13 13:05:54,D0826791,11.534028,48.168995
2017-11-13 13:06:50,D0826791,11.531641,48.171036
2017-11-13 13:08:07,D0826791,11.534074,48.168955
2017-11-13 13:08:28,D0826791,11.531502,48.171775
2017-11-13 13:09:33,D0826791,11.531912,48.17155
2017-11-13 13:10:47,D0826791,11.529733,48.168559
2017-11-13 13:12:11,D0826791,11.5339,48.168833
2017-11-13 13:12:28,D0826791,11.534118,48.168923
2017-11-13 13:14:33,D0826791,11.533519,48.168781
2017-11-13 13:15:33,D0826791,11.533979,48.169022
2017-11-13 13:16:17,D0826791,11.534091,48.168931
2017-11-13 13:17:14,D0826791,11.53409,48.168931
2017-11-13 13:18:04,D0826791,11.533934,48.16878
2017-11-13 13:18:46,D0826791,11.533956,48.168766
2017-11-13 13:19:32,D0826791,11.534215,48.168827
2017-11-13 13:20:47,D0826791,11.532179,48.17065
2017-11-13 13:22:03,D0826791,11.532071,48.17137
2017-11-13 13:24:34,D0826791,11.531858,48.171611
2017-11-13 13:24:49,D0826791,11.531698,48.171018
2017-11-13 13:25:38,D0826791,11.534121,48.168894
2017-11-13 13:26:44,D0826791,11.534214,48.168827
2017-11-13 13:28:06,D0826791,11.534091,48.168931
2017-11-13 13:29:32,D0826791,11.534033,48.168989
2017-11-13 13:32:04,D0826791,11.534243,48.168825
2017-11-13 13:34:33,D0826791,11.531874,48.171446
2017-11-13 13:36:03,D0826791,11.533632,48.168693
2017-11-13 13:38:34,D0826791,11.53416,48.168869
2017-11-13 13:39:32,D0826791,11.53416,48.168869
2017-11-13 13:40:13,D0826791,11.5317,48.171612
2017-11-13 13:42:03,D0826791,11.534033,48.168987
2017-11-13 13:44:13,D0826791,11.533564,48.168747
2017-11-13 13:44:34,D0826791,11.531104,48.17133
2017-11-13 13:45:34,D0826791,11.534069,48.168971
2017-11-13 13:48:06,D0826791,11.532308,48.171348
2017-11-13 13:48:26,D0826791,11.533944,48.169075
2017-11-13 13:49:36,D0826791,11.533973,48.169057
2017-11-13 13:52:04,D0826791,11.534064,48.168972
2017-11-13 13:52:46,D0826791,11.53406,48.168984
2017-11-13 13:53:34,D0826791,11.534109,48.16894
2017-11-13 13:54:33,D0826791,11.533433,48.168841
2017-11-13 13:55:33,D0826791,11.531958,48.17144
2017-11-13 13:58:04,D0826791,11.534062,48.168987
2017-11-13 13:59:32,D0826791,11.528535,48.16936
2017-11-13 13:59:47,D0826791,11.532024,48.171416
2017-11-13 14:00:11,D0826791,11.531941,48.171466
2017-11-13 14:02:03,D0826791,11.532264,48.171382
2017-11-13 14:04:33,D0826791,11.533952,48.169055
2017-11-13 14:07:03,D0826791,11.530044,48.168019
2017-11-13 14:07:38,D0826791,11.534138,48.168825
2017-11-13 14:08:13,D0826791,11.53002,48.168114
2017-11-13 14:09:32,D0826791,11.53391,48.168813
2017-11-13 14:11:38,D0826791,11.533955,48.169038
2017-11-13 14:12:04,D0826791,11.531998,48.171542
2017-11-13 14:14:33,D0826791,11.533972,48.169035
2017-11-13 14:19:36,D0826791,11.529033,48.169213
2017-11-13 14:21:28,D0826791,11.534174,48.168811
2017-11-13 14:22:03,D0826791,11.533924,48.169071
2017-11-13 14:22:18,D0826791,11.532806,48.168718
2017-11-13 14:22:46,D0826791,11.531622,48.171759
2017-11-13 14:24:03,D0826791,11.531972,48.171008
2017-11-13 14:25:05,D0826791,11.532004,48.169832
2017-11-13 14:25:39,D0826791,11.531195,48.170282
2017-11-13 14:26:09,D0826791,11.532843,48.171574
2017-11-13 14:27:01,D0826791,11.528809,48.169165
2017-11-13 14:27:28,D0826791,11.528661,48.169081
2017-11-13 14:27:44,D0826791,11.528266,48.168922
2017-11-13 14:28:01,D0826791,11.530233,48.170399
2017-11-13 14:29:34,D0826791,11.53233,48.171623
2017-11-13 14:29:55,D0826791,11.531371,48.170929
2017-11-13 14:29:11,D0826791,11.53307,48.17204
2017-11-13 14:37:45,D0826791,11.568188,48.175029
2017-11-13 11:48:48,D0826791,11.531778,48.171327
2017-11-13 11:49:58,D0826791,11.528201,48.169213
2017-11-13 11:50:47,D0826791,11.528697,48.169763
2017-11-13 11:51:05,D0826791,11.529096,48.169527
2017-11-13 11:51:29,D0826791,11.52849,48.168907
2017-11-13 11:52:19,D0826791,11.527658,48.1686
2017-11-13 11:52:49,D0826791,11.527795,48.168684
